day,round,player1_name,player2_name,winner,p1_rank_points,p1_age,p1_ht,p1_is_lefty,p1_experience,p1_career_win_rate,p1_surface_win_rate,p1_recent_form,p1_avg_ace_rate,p1_avg_df_rate,p1_avg_1st_serve_pct,p1_avg_1st_serve_win_pct,p2_rank_points,p2_age,p2_ht,p2_is_lefty,p2_experience,p2_career_win_rate,p2_surface_win_rate,p2_recent_form,p2_avg_ace_rate,p2_avg_df_rate,p2_avg_1st_serve_pct,p2_avg_1st_serve_win_pct,h2h_matches,h2h_win_rate,tourney_importance,surface_hard,surface_clay,surface_grass,both_right_handed,both_left_handed,mixed_handed,month,quarter,month_sin,month_cos,split
1,1,Fabio Fognini,Carlos Alcaraz,2,745.0,37.4,178.0,0,19.759069130732374,0.5213675213675214,0.5208333333333334,0.45,0.0542235802469184,0.0513651686856613,0.6011889908984773,0.6431914030018402,7010.0,21.5,183.0,0,5.366187542778919,0.7886792452830189,0.8888888888888888,0.75,0.0864841151648193,0.0185574830320569,0.640359314873675,0.7903807411518107,2,0.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Jacob Fearnley,Joao Fonseca,2,588.0,23.2,183.0,0,1.0157426420260096,0.4,0.3333333333333333,0.4,0.1103828518929425,0.0350312956088887,0.6481419852294538,0.809293565797397,374.0,18.0,185.0,0,2.3572895277207393,0.6,0.0,0.6,0.0688436954701292,0.0140265715058903,0.6906246869613086,0.7333191274758565,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Benjamin Bonzi,Daniil Medvedev,1,473.0,28.4,183.0,0,8.087611225188228,0.4339622641509434,0.5,0.4,0.0961714261390728,0.0243426539133642,0.633388948977134,0.7506369422458983,4830.0,28.7,198.0,0,9.122518822724162,0.7094972067039106,0.6764705882352942,0.55,0.0870039294454015,0.0449072436381339,0.6119369031980827,0.7709188329759652,1,1.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Holger Rune,Nicolas Jarry,2,3005.0,21.5,188.0,0,7.230663928815879,0.6271929824561403,0.5882352941176471,0.7,0.1173150194376428,0.0283676719983509,0.6396425217010495,0.7883178915065563,1810.0,28.3,201.0,0,11.794661190965092,0.5087719298245614,0.4444444444444444,0.35,0.0981151586004057,0.0256582149803524,0.6325788146313414,0.8149733368161703,1,1.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Matteo Berrettini,Kamil Majchrzak,2,1380.0,28.6,196.0,0,8.125941136208077,0.6539792387543253,0.7924528301886793,0.65,0.1285510392685392,0.0171059998814803,0.6631165443046536,0.8009522882626458,25.0,28.0,180.0,0,10.318959616700887,0.4366197183098591,0.2857142857142857,0.5,0.0984819478815659,0.0207449279146789,0.621399862220778,0.7719504510907977,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Elmer Moller,Frances Tiafoe,2,136.0,20.5,183.0,0,2.784394250513347,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0042735042735042,0.0213675213675213,0.576923076923077,0.6990740740740741,2585.0,26.7,188.0,0,10.924024640657084,0.5225,0.5609756097560976,0.65,0.1008463852406511,0.0429368178040706,0.5933647124816593,0.7000763865292221,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Valentin Royer,Stefanos Tsitsipas,1,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,3025.0,25.4,193.0,0,8.375085557837098,0.677734375,0.5641025641025641,0.55,0.1156381241055755,0.0353052340909745,0.6070757017684619,0.7942844166708103,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Mackenzie McDonald,Karen Khachanov,2,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,2225.0,28.4,198.0,0,11.786447638603695,0.5821205821205822,0.6153846153846154,0.7,0.0993389703251434,0.0192347348899779,0.6574490705441068,0.7898668073352059,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Cameron Norrie,Roberto Bautista Agut,1,962.0,29.2,188.0,1,8.030116358658454,0.5726027397260274,0.5365853658536586,0.5,0.0924437968680126,0.0219894298175089,0.6873950662731703,0.7554709353576001,841.0,36.4,183.0,0,15.657768651608489,0.6089466089466089,0.6842105263157895,0.6,0.0852214468571075,0.0314515297414533,0.6502030115747198,0.7599843008916555,3,1.0,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
1,1,Oliver Tarvet,Leandro Riedi,1,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,352.0,22.0,191.0,0,3.9479808350444903,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0724784348236916,0.056920173805343,0.5808044787734393,0.6756233647224333,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
