round,p1_name,p2_name,winner
1,Fabio Fognini,Carlos Alcaraz,2
1,Jacob Fearnley,Joao Fonseca,2
1,Benjamin Bonzi,Daniil Medvedev,1
1,Holger Rune,Nicolas Jarry,2
1,Matteo Berrettini,Kamil Majchrzak,2
1,Elmer Moller,Frances Tiafoe,2
1,Valentin Royer,Stefanos Tsitsipas,1
1,Mackenzie McDonald,Karen Khachanov,2
1,Cameron Norrie,Roberto Bautista Agut,1
1,Oliver Tarvet,Leandro Riedi,1
1,Ethan Quinn,Henry Searle,1
1,Adrian Mannarino,Christopher O'Connell,1
1,Luciano Darderi,Roman Safiullin,1
1,Learner Tien,Nishesh Basavareddy,1
1,Zizou Bergs,Lloyd Harris,2
1,Jan-Lennard Struff,Filip Misolic,1
1,Gabriel Diallo,Daniel Altmaier,1
1,Brandon Holt,Alejandro Davidovich Fokina,2
1,Vit Kopriva,Jordan Thompson,2
1,Cristian Garin,Chris Rodesch,1
1,Felix Auger-Aliassime,James Duckworth,1
1,Jenson Brooksby,Tallon Griekspoor,1
1,Alexei Popyrin,Arthur Fery,2
1,Billy Harris,Dusan Lajovic,1
1,Mattia Bellucci,Oliver Crawford,1
1,Andrey Rublev,Laslo Djere,1
1,Jiri Lehecka,Hugo Dellien,1
1,Francisco Cerundolo,Nuno Borges,2
1,Arthur Rinderknech,Alexander Zverev,1
1,Alexandre Muller,Novak Djokovic,2
1,Jannik Sinner,Luca Nardi,1
1,Taylor Fritz,Giovanni Mpetshi Perricard,1
1,Jack Draper,Sebastian Baez,1
1,Nikoloz Basilashvili,Lorenzo Musetti,1
1,Ben Shelton,Alex Bolt,1
1,Johannus Monday,Tommy Paul,2
1,Grigor Dimitrov,Yoshihito Nishioka,1
1,Matteo Arnaldi,Botic van De Zandschulp,2
1,Daniel Evans,Jay Clarke,1
1,Gael Monfils,Ugo Humbert,1
1,Alex de Minaur,Roberto Carballes Baena,1
1,Hugo Gaston,Jakub Mensik,2
1,Alex Michelsen,Miomir Kecmanovic,2
1,Shintaro Mochizuki,Giulio Zeppieri,1
1,Alexander Shevchenko,Reilly Opelka,2
1,Chun-Hsin Tseng,Aleksandar Vukic,2
1,Rinky Hijikata,David Goffin,1
1,Arthur Cazaux,Adam Walton,1
1,Quentin Halys,August Holmgren,2
1,Jesper de Jong,Christopher Eubanks,1
1,Aleksandar Kovacevic,Marton Fucsovics,2
1,Jaime Faria,Lorenzo Sonego,2
1,Sebastian Ofner,Hamad Medjedovic,1
1,Marcos Giron,Camilo Ugo Carabelli,1
1,James McCabe,Fabian Marozsan,2
1,Francisco Comesana,Corentin Moutet,2
1,Jaume Munar,Alexander Bublik,1
1,Raphael Collignon,Marin Cilic,2
1,Damir Dzumhur,Tomas Machac,2
1,Pedro Martinez,George Loffhagen,1
1,Flavio Cobolli,Beibit Zhukayev,1
1,Mariano Navone,Denis Shapovalov,1
1,Tomas Martin Etcheverry,Jack Pinnington Jones,2
2,Oliver Tarvet,Carlos Alcaraz,2
2,Cameron Norrie,Frances Tiafoe,1
2,Taylor Fritz,Gabriel Diallo,1
2,Nuno Borges,Billy Harris,1
2,Andrey Rublev,Lloyd Harris,1
2,Jiri Lehecka,Mattia Bellucci,2
2,Joao Fonseca,Jenson Brooksby,1
2,Shintaro Mochizuki,Karen Khachanov,2
2,Kamil Majchrzak,Ethan Quinn,1
2,Nicolas Jarry,Learner Tien,1
1,Brandon Nakashima,Yunchaokete Bu,1
2,Jordan Thompson,Benjamin Bonzi,1
2,Adrian Mannarino,Valentin Royer,1
2,Daniel Evans,Novak Djokovic,2
2,Jannik Sinner,Aleksandar Vukic,1
2,Jack Draper,Marin Cilic,2
2,Alex de Minaur,Arthur Cazaux,1
2,Arthur Fery,Luciano Darderi,2
2,Grigor Dimitrov,Corentin Moutet,1
2,Sebastian Ofner,Tommy Paul,1
2,Marcos Giron,Jakub Mensik,2
2,August Holmgren,Tomas Machac,1
2,Flavio Cobolli,Jack Pinnington Jones,1
2,Felix Auger-Aliassime,Jan-Lennard Struff,2
2,Botic van De Zandschulp,Alejandro Davidovich Fokina,2
2,Fabian Marozsan,Jaume Munar,2
2,Miomir Kecmanovic,Jesper de Jong,1
2,Pedro Martinez,Mariano Navone,1
2,Brandon Nakashima,Reilly Opelka,1
2,Cristian Garin,Arthur Rinderknech,2
2,Lorenzo Sonego,Nikoloz Basilashvili,1
3,Taylor Fritz,Alejandro Davidovich Fokina,1
3,Jan-Lennard Struff,Carlos Alcaraz,2
3,Mattia Bellucci,Cameron Norrie,2
2,Ben Shelton,Rinky Hijikata,1
3,Nicolas Jarry,Joao Fonseca,1
3,Andrey Rublev,Adrian Mannarino,1
3,Nuno Borges,Karen Khachanov,2
3,Kamil Majchrzak,Arthur Rinderknech,1
2,Marton Fucsovics,Gael Monfils,1
3,Luciano Darderi,Jordan Thompson,2
3,Jannik Sinner,Pedro Martinez,1
3,Miomir Kecmanovic,Novak Djokovic,2
3,Ben Shelton,Marton Fucsovics,1
3,Alex de Minaur,August Holmgren,1
3,Grigor Dimitrov,Sebastian Ofner,1
3,Flavio Cobolli,Jakub Mensik,1
3,Marin Cilic,Jaume Munar,1
3,Brandon Nakashima,Lorenzo Sonego,2
4,Andrey Rublev,Carlos Alcaraz,2
4,Taylor Fritz,Jordan Thompson,1
4,Nicolas Jarry,Cameron Norrie,2
4,Karen Khachanov,Kamil Majchrzak,1
4,Alex de Minaur,Novak Djokovic,2
4,Jannik Sinner,Grigor Dimitrov,1
4,Ben Shelton,Lorenzo Sonego,1
4,Marin Cilic,Flavio Cobolli,2
Q,Cameron Norrie,Carlos Alcaraz,2
Q,Taylor Fritz,Karen Khachanov,1
Q,Flavio Cobolli,Novak Djokovic,2
Q,Jannik Sinner,Ben Shelton,1
S,Taylor Fritz,Carlos Alcaraz,2
S,Jannik Sinner,Novak Djokovic,1
F,Jannik Sinner,Carlos Alcaraz,1
